Number|Station name                             |Latitude|Longitud|Stat|Elevat.|Distance (km)
 26045|COONAWARRA                               |-37.3000|140.8333|SA  |   59.0|1527.1
 34047|BARMOUNT                                 |-22.5342|149.0953|QLD |  140.0|1527.2
 51030|MIANDETTA (TYRONE)                       |-31.6033|146.9437|NSW |  190.0|1527.3
 35175|MOUNT NICHOLSON                          |-24.8444|149.0997|QLD |  240.0|1527.4
 77021|LAKE BOGA (KUNAT)                        |-35.5414|143.5284|VIC |   90.0|1527.4
 77025|LAKE BOGA                                |-35.4609|143.6286|VIC |   71.0|1527.6
 43031|ROMA DOWNS                               |-26.6164|148.8658|QLD |  308.0|1527.7
 33040|KUTTABUL POST OFFICE                     |-21.0403|148.9100|QLD |   40.0|1527.7
  7070|PEAK HILL                                |-25.6381|118.7131|WA  |  602.7|1527.7
 77023|LALBERT                                  |-35.6694|143.3769|VIC |   85.0|1527.9
 33083|CARDOWAN                                 |-22.1203|149.0647|QLD |  130.0|1527.9
 33185|TIERAWOOMBA                              |-21.8547|149.0356|QLD |  300.0|1528.0
 43080|KAROOLA PARK                             |-27.2269|148.7406|QLD |  249.0|1528.2
 44178|DOONDI                                   |-28.2503|148.4644|QLD |  183.0|1528.6
 33087|BARNGANAL BLUE MOUNTAIN                  |-21.5286|149.0006|QLD |  193.0|1528.9
 34061|JUNEE STATION                            |-22.9372|149.1386|QLD |  130.0|1529.0
 75137|HAY (PEVENSEY)                           |-34.5640|144.6389|NSW |   85.0|1529.1
 48048|LIGHTNING RIDGE (GUISELEY)               |-29.7500|147.9167|NSW |  134.0|1529.2
 77031|NULLAWIL                                 |-35.8500|143.1667|VIC |   91.0|1529.2
 75034|HILLSTON (HUNTHAWANG)                    |-33.3413|145.7480|NSW |  130.0|1529.3
 79007|CHARAM                                   |-36.9833|141.4667|VIC |  146.0|1529.4
 33021|ETON POLICE STATION                      |-21.2667|148.9667|QLD |   35.0|1529.5
 26006|PENOLA (COMAUM PARK)                     |-37.2583|140.9683|SA  |  110.0|1529.6
 33134|ETON SUNWATER                            |-21.2681|148.9700|QLD |   30.0|1529.8
 78035|SHEEP HILLS                              |-36.3500|142.5000|VIC |  137.2|1530.6
 44166|YAMBURGAN                                |-28.5128|148.4017|QLD |  170.0|1530.6
 49060|EREMERAN                                 |-32.5000|146.4000|NSW |  320.0|1530.7
 33053|MOUNT JUKES                              |-21.0011|148.9364|QLD |   30.0|1531.0
 26018|MILLICENT                                |-37.5872|140.3426|SA  |   20.0|1531.3
 78036|WARMUR WEST                              |-36.1500|142.8000|VIC |  112.8|1531.4
 51061|COLANE                                   |-31.2500|147.2000|NSW |  156.0|1531.6
 26019|MOUNT BURR FOREST RESERVE                |-37.5575|140.4197|SA  |   65.0|1531.9
 12016|CIRCLE VALLEY POST OFFICE                |-33.0833|121.7500|WA  |  222.7|1532.0
 78048|AREEGRA                                  |-36.3000|142.6000|VIC |  110.2|1532.2
 43018|LAURISTON                                |-26.7000|148.9000|QLD |  296.1|1532.6
 43053|ST GEORGE (HUTT ST)                      |-28.0405|148.5714|QLD |  200.0|1532.8
 79023|HORSHAM POLKEMMET RD                     |-36.6613|142.0687|VIC |  128.0|1532.9
 77030|NARRAPORT                                |-35.9963|143.0353|VIC |   98.0|1532.9
 79036|NATIMUK                                  |-36.7416|141.9429|VIC |  122.0|1533.0
 44058|NOONDOO                                  |-28.6000|148.4000|QLD |  175.1|1533.2
 43034|ST GEORGE POST OFFICE                    |-28.0361|148.5814|QLD |  200.8|1533.6
 43042|WINSTON                                  |-26.4997|148.9494|QLD |  350.0|1533.7
 26001|BONLEY                                   |-37.4167|140.7500|SA  |   61.5|1533.7
 33017|DAYDREAM ISLAND RESORT                   |-20.2575|148.8139|QLD |   20.0|1533.9
  4038|WALLAREENYA                              |-20.7483|118.8172|WA  |   97.0|1534.0
 12070|SALMON GUMS                              |-32.9803|121.6433|WA  |  250.0|1534.2
 26025|PENOLA POST OFFICE                       |-37.3803|140.8379|SA  |   62.0|1534.4
 77081|KALPIENUNG                               |-35.8667|143.2333|VIC |   94.0|1534.6
 78039|WATCHEM                                  |-36.1481|142.8597|VIC |  120.0|1534.8
 43058|BARRACKDALE                              |-27.5322|148.7344|QLD |  230.0|1535.0
 90066|POOLAIJELO                               |-37.2500|141.1000|VIC |   85.3|1535.0
 43109|ST GEORGE AIRPORT                        |-28.0478|148.5957|QLD |  198.5|1535.3
 12028|GORYA VALLEY                             |-33.0372|121.6644|WA  |  240.0|1536.0
 33044|CLUB CROCODILE RESORT                    |-20.3353|148.8536|QLD |   10.0|1536.1
 12071|SALMON GUMS RES.STN.                     |-32.9869|121.6239|WA  |  249.0|1536.2
  9788|BOYATUP                                  |-33.8144|122.2942|WA  |   80.0|1536.4
 77002|BEAUCHAMP                                |-35.6000|143.6000|VIC |   78.4|1536.5
 75074|HILLSTON (WILLANTHRY)                    |-33.3500|145.8333|NSW |  122.0|1536.5
 75140|GUNBAR  (KELSEY)                         |-34.1533|145.1409|NSW |   99.0|1536.7
 43090|BEARDMORE DAM                            |-27.9067|148.6514|QLD |  197.0|1536.7
  7031|HILLVIEW                                 |-26.9033|118.8361|WA  |  600.0|1536.8
 26022|MOUNT MCINTYRE                           |-37.5500|140.5500|SA  |   91.4|1536.8
 43070|TALOONA                                  |-26.0425|149.0742|QLD |  282.0|1538.4
 51007|CARINDA POST OFFICE                      |-30.4631|147.6915|NSW |  128.0|1538.5
 27031|BAMAGA                                   |-10.8969|142.3844|QLD |   58.0|1538.5
 33060|PLEYSTOWE SUGAR MILL                     |-21.1417|149.0378|QLD |   27.0|1538.5
 77085|DUMOSA                                   |-35.9333|143.2167|VIC |  103.2|1538.8
 43065|KATOOTA                                  |-27.7686|148.7148|QLD |  207.0|1539.1
  7101|MUNARRA                                  |-26.2822|118.6933|WA  |  500.0|1539.1
 75163|HILLSTON  ( ALDINGA)                     |-33.3476|145.8703|NSW |  135.0|1539.3
 79100|HORSHAM AERODROME                        |-36.6699|142.1733|VIC |  133.8|1539.3
 35172|MELMOTH                                  |-23.4542|149.2608|QLD |  121.9|1539.5
  7123|COGLA DOWNS                              |-27.4375|118.9292|WA  |  500.0|1539.7
 33012|COLLAROY STATION                         |-22.0328|149.1850|QLD |  183.0|1540.8
 75031|HAY (MILLER STREET)                      |-34.5194|144.8545|NSW |   93.3|1541.2
 33072|WALKERSTON                               |-21.1500|149.0667|QLD |   18.0|1541.2
 43067|BASIN DOWNS                              |-27.4075|148.8311|QLD |  221.0|1541.3
 90034|DERGHOLM (DORODONG)                      |-37.3322|141.0809|VIC |  124.0|1541.4
